image,ground_truth,prediction,CER_score
test001_0,B9140BCD,B5140BCD,0.125
test001_1,B2407UZO,B2407UZ,0.125
test001_2,B2842PKM,B2842PKM,0.0
test002_0,BG1352AE,BG1352AE,0.0
test003_0,B2634UZF,B2634UZF,0.0
test003_1,B1995JVK,B1995JVK,0.0
test004_0,B9062VEH,B9062VEH,0.0
test005_0,DD8798KM,DD2798KM,0.125
test006_0,T1329KC,T1329KC,0.0
test007_0,AD8865EE,AD8865EE,0.0
test008_0,DK1157AAB,DK1157AAB,0.0
test008_1,AA1997FE,AA1997FE,0.0
test009_0,H8518NA,H8578NA,0.1429
test009_1,K1649GB,K1649GB,0.0
test010_0,B9416PCN,B9416PCN,0.0
test010_1,H1147UY,H1147UY,0.0
test011_0,H1691IL,H1691IL,0.0
test011_1,B9374RI,B9374BI,0.1429
test011_2,D1204AIG,D1204AIG,0.0
test012_0,E1887BA,E1887BA,0.0
test013_0,B1439UZP,B1439UZP,0.0
test013_1,B1128WOS,B128W,0.375
test014_0,B1388DFX,B1388DFX,0.0
test015_0,AD1798BT,AD1798BT,0.0
test016_0,E1517DQ,E1517,0.2857
test017_0,AD8982FS,AD8982FS,0.0
test018_0,L7603UA,L7603UA,0.0
test019_0,AD7HS,AD7HS,0.0
test019_1,B1959WYK,B1959WYK,0.0
test020_0,AG8634EK,AC8634KX,0.375
test020_1,AD1329PY,AD1328PY,0.125
test021_0,BA1709DW,BA1709DW,0.0
test021_1,W1236VZ,W1236VZ,0.0
test022_0,W1825OZ,W1825OZ,0.0
test022_1,L1202UE,L1202UE,0.0
test022_2,L3823IB,O234XYZ,1.0
test023_0,B1730JLO,B1730JL,0.125
test024_0,B2964TRU,B2964TRU,0.0
test025_0,S5585LP,S5585LP,0.0
test025_1,L2858RR,L2850RR,0.1429
test025_2,W1185ZO,W1185Z,0.1429
test025_3,9840VU,B40VU,0.3333
test026_0,N9652DF,N9652DF,0.0
test026_1,L3836ZX,L3836ZX,0.0
test027_0,N1905IG,N1905IG,0.0
test027_1,B1109CLR,B1109CLR,0.0
test027_2,L1840AA,L1840AA,0.0
test028_0,L1438EO,L1438E,0.1429
test028_1,L1436AAA,L1436AAA,0.0
test029_0,W1518WF,W1516,0.4286
test029_1,G1986N,G1986N,0.0
test029_2,L1588OO,L1588,0.2857
test029_3,L1436AAA,L1436AAA,0.0
test030_0,S8062NF,S8062NF,0.0
test030_1,G1894TE,G1894TE,0.0
test031_0,L1560JQ,L1560JQ,0.0
test031_1,L1568Q0,L1568,0.2857
test031_2,L1932AAZ,L1932AAZ,0.0
test032_0,B2754SKY,B2754SKY,0.0
test032_1,W1192K,W1192K,0.0
test033_0,L4561VK,L4561VW,0.1429
test033_1,L2693GA,L2896,0.5714
test033_2,W9847G,IS847G,0.3333
test033_3,L1762ABJ,B1234XYZ,0.875
test034_0,L1811SU,L1811SU,0.0
test034_1,W1167V0,I167VB,0.4286
test034_2,S61310CF,I310CF,0.375
test034_3,L2570AAD,L2570AAD,0.0
test035_0,L9643NN,L9643NN,0.0
test035_1,L5247GI,S227GT,0.5714
test035_2,L2498AAM,L2480AM,0.25
test035_3,W1696YO,W1696YO,0.0
test036_0,B1231JJA,B1231JJA,0.0
